SPAD,CROP,A/L,L/F,NAMEOFIMAGE
33.1,CABBAGE,ATOK,L,IMG_20250320_074429.jpg
38.5,CABBAGE,ATOK,L,IMG_20250320_074444.jpg
40.1,CABBAGE,ATOK,L,IMG_20250320_074510.jpg
36.4,CABBAGE,ATOK,L,IMG_20250320_074522.jpg
29.7,CABBAGE,ATOK,L,IMG_20250320_074533.jpg
35.2,CABBAGE,ATOK,L,IMG_20250320_074544.jpg
36.5,CABBAGE,ATOK,L,IMG_20250320_074557.jpg
28.0,CABBAGE,ATOK,L,IMG_20250320_074632.jpg
35.3,CABBAGE,ATOK,L,IMG_20250320_074659.jpg
22.3,CABBAGE,ATOK,L,IMG_20250320_074711.jpg
16.5,CABBAGE,ATOK,L,IMG_20250320_074728.jpg
55.7,CABBAGE,ATOK,L,IMG_20250320_074747.jpg
25.6,CABBAGE,ATOK,L,IMG_20250320_092928.jpg
35.5,CABBAGE,ATOK,L,IMG_20250320_093038.jpg
31.3,CABBAGE,ATOK,L,IMG_20250320_093100.jpg
33.4,CABBAGE,ATOK,L,IMG_20250320_093128.jpg
25.9,CABBAGE,ATOK,L,IMG_20250320_093215.jpg
32.9,CABBAGE,ATOK,L,IMG_20250320_093255.jpg
38.0,CABBAGE,ATOK,L,IMG_20250320_093326.jpg
24.9,CABBAGE,ATOK,L,IMG_20250320_093427.jpg
25.5,CABBAGE,ATOK,L,IMG_20250320_093523.jpg
37.9,CABBAGE,ATOK,L,IMG_20250320_093554.jpg
23.9,CABBAGE,ATOK,L,IMG_20250320_093645.jpg
27.5,CABBAGE,ATOK,L,IMG_20250320_093711.jpg
19.6,CABBAGE,ATOK,L,IMG_20250320_093801.jpg
25.3,CABBAGE,ATOK,L,IMG_20250320_093935.jpg
30.6,CABBAGE,ATOK,L,IMG_20250320_094029.jpg
19.2,CABBAGE,ATOK,L,IMG_20250320_094153.jpg
28.7,CABBAGE,ATOK,L,IMG_20250320_094232.jpg
26.4,CABBAGE,ATOK,L,IMG_20250320_094257.jpg
31.0,CABBAGE,ATOK,L,IMG_20250320_094355.jpg
17.2,CABBAGE,ATOK,L,IMG_20250320_094441.jpg
25.5,CABBAGE,ATOK,L,IMG_20250320_094512.jpg
21.2,CABBAGE,ATOK,L,IMG_20250320_094547.jpg
36.1,CABBAGE,ATOK,L,IMG_20250320_094611.jpg
18.1,CABBAGE,ATOK,L,IMG_20250320_094652.jpg
23.4,CABBAGE,ATOK,L,IMG_20250320_094716.jpg
41.3,CABBAGE,ATOK,L,IMG_20250320_094801.jpg
38.3,CABBAGE,ATOK,L,IMG_20250320_094940.jpg
27.5,CABBAGE,ATOK,L,IMG_20250320_095022.jpg
15.3,CABBAGE,ATOK,L,IMG_20250320_095035.jpg
32.0,CABBAGE,ATOK,L,IMG_20250320_095051.jpg
30.1,CABBAGE,ATOK,L,IMG_20250320_095112.jpg
14.4,CABBAGE,ATOK,L,IMG_20250320_095134.jpg
12.7,CABBAGE,ATOK,L,IMG_20250320_095158.jpg
40.7,CABBAGE,ATOK,L,IMG_20250320_095217.jpg
37.0,CABBAGE,ATOK,L,IMG_20250320_095251.jpg
31.0,CABBAGE,ATOK,L,IMG_20250320_095309.jpg
34.5,CABBAGE,ATOK,L,IMG_20250320_095346.jpg
43.0,CABBAGE,ATOK,L,IMG_20250320_095410.jpg
37.0,CABBAGE,ATOK,L,IMG_20250320_095424.jpg
37.7,CABBAGE,ATOK,L,IMG_20250320_095458.jpg
26.1,CABBAGE,ATOK,L,IMG_20250320_095525.jpg
24.3,CABBAGE,ATOK,L,IMG_20250320_095606.jpg
21.4,CABBAGE,ATOK,L,IMG_20250320_095622.jpg
26.4,CABBAGE,ATOK,L,IMG_20250320_095639.jpg
35.4,CABBAGE,ATOK,L,IMG_20250320_095704.jpg
24.5,CABBAGE,ATOK,L,IMG_20250320_095723.jpg
30.0,CABBAGE,ATOK,L,IMG_20250320_095744.jpg
20.0,CABBAGE,ATOK,L,IMG_20250320_095816.jpg
37.7,CABBAGE,ATOK,L,IMG_20250320_095848.jpg
37.7,CABBAGE,ATOK,L,IMG_20250320_095915.jpg
33.9,CABBAGE,ATOK,L,IMG_20250320_095940.jpg
34.6,CABBAGE,ATOK,L,IMG_20250320_100002.jpg
29.3,CABBAGE,ATOK,L,IMG_20250320_100028.jpg
29.1,CABBAGE,ATOK,L,IMG_20250320_100049.jpg
28.7,CABBAGE,ATOK,L,IMG_20250320_100138.jpg
16.4,CABBAGE,ATOK,L,IMG_20250320_100155.jpg
27.9,CABBAGE,ATOK,L,IMG_20250320_100216.jpg
31.9,CABBAGE,ATOK,L,IMG_20250320_100236.jpg
37.9,CABBAGE,ATOK,L,IMG_20250320_100249.jpg
37.4,CABBAGE,ATOK,L,IMG_20250320_100310.jpg
35.2,CABBAGE,ATOK,L,IMG_20250320_100335.jpg
19.3,CABBAGE,ATOK,L,IMG_20250320_100351.jpg
37.3,CABBAGE,ATOK,L,IMG_20250320_100414.jpg
37.0,CABBAGE,ATOK,L,IMG_20250320_100436.jpg
33.4,CABBAGE,ATOK,L,IMG_20250320_100504.jpg
28.2,CABBAGE,ATOK,L,IMG_20250320_100522.jpg
37.2,CABBAGE,ATOK,L,IMG_20250625_135951.jpg
44.1,CABBAGE,ATOK,L,IMG_20250625_140011.jpg
28.9,CABBAGE,ATOK,L,IMG_20250625_140035.jpg
13.1,CABBAGE,ATOK,L,IMG_20250625_140103.jpg
40.1,CABBAGE,ATOK,L,IMG_20250625_140123.jpg
37.6,CABBAGE,ATOK,L,IMG_20250625_140139.jpg
34.1,CABBAGE,ATOK,L,IMG_20250625_140156.jpg
36.5,CABBAGE,ATOK,L,IMG_20250625_140215.jpg
32.2,CABBAGE,ATOK,L,IMG_20250625_140236.jpg
38.9,CABBAGE,ATOK,L,IMG_20250625_140251.jpg
40.1,CABBAGE,ATOK,L,IMG_20250625_140332.jpg
42.1,CABBAGE,ATOK,L,IMG_20250625_140408.jpg
36.9,CABBAGE,ATOK,L,IMG_20250625_140427.jpg
41.4,CABBAGE,ATOK,L,IMG_20250625_140451.jpg
39.6,CABBAGE,ATOK,L,IMG_20250625_140507.jpg
37.7,CABBAGE,ATOK,L,IMG_20250625_140518.jpg
41.2,CABBAGE,ATOK,L,IMG_20250625_140530.jpg
36.4,CABBAGE,ATOK,L,IMG_20250625_140601.jpg
40.1,CABBAGE,ATOK,L,IMG_20250625_140616.jpg
38.6,CABBAGE,ATOK,L,IMG_20250625_140656.jpg
46.7,CABBAGE,ATOK,L,IMG_20250625_140719.jpg
44.3,CABBAGE,ATOK,L,IMG_20250625_140738.jpg
39.4,CABBAGE,ATOK,L,IMG_20250625_140802.jpg
47.9,CABBAGE,ATOK,L,IMG_20250625_140818.jpg
58.4,CABBAGE,ATOK,L,IMG_20250625_140838.jpg
47.0,CABBAGE,ATOK,L,IMG_20250625_140859.jpg
19.8,CABBAGE,ATOK,L,IMG_20250625_140945.jpg
30.7,CABBAGE,ATOK,L,IMG_20250625_141003.jpg
38.4,CABBAGE,ATOK,L,IMG_20250625_141026.jpg
42.8,CABBAGE,ATOK,L,IMG_20250625_141053.jpg
